time,ax,ay,az,aT
0.005000,0.6584,-0.1058,0.3080,0.735
0.006000,0.5368,-0.1507,0.3959,0.684
0.010000,0.4686,-0.1565,0.2186,0.540
0.037000,0.2893,-0.2634,-0.1673,0.425
0.039000,-0.0281,-0.2384,-0.5525,0.602
0.039000,-0.1484,-0.2524,-0.5565,0.629
0.082000,0.0769,-0.2216,-0.3740,0.441
0.084000,0.4566,-0.1799,-0.0619,0.495
0.085000,0.4247,-0.1716,0.2897,0.542
0.087000,0.3878,-0.2696,0.5963,0.761
0.088000,0.3173,-0.2121,0.6974,0.795
0.120000,0.3288,-0.2457,0.6825,0.796
0.123000,0.2196,-0.2704,0.5425,0.645
0.125000,0.2204,-0.2079,0.1918,0.359
0.149000,0.3792,-0.2207,-0.0720,0.445
0.150000,-0.0102,-0.0888,-0.2608,0.276
0.151000,-0.3960,-0.1444,-0.3561,0.552
0.176000,-0.6292,-0.0810,-0.1576,0.654
0.178000,-0.2111,-0.0849,0.0841,0.243
0.179000,0.0551,-0.0179,-0.0112,0.059
0.205000,0.4474,-0.0916,0.0444,0.459
0.207000,0.8554,0.0652,0.2315,0.889
0.214000,0.8420,-0.0500,0.0452,0.845
0.231000,0.3707,0.0989,0.0592,0.388
0.233000,-0.0448,-0.0902,0.5314,0.541
0.244000,0.1075,-0.2417,0.7813,0.825
0.260000,0.3213,-0.2009,0.7246,0.818
0.268000,0.6224,-0.2865,0.6262,0.928
0.281000,1.1079,-0.1649,0.7986,1.376
0.283000,1.0679,-0.1301,0.7919,1.336
0.295000,0.5910,0.1852,0.6834,0.922
0.301000,0.2300,-0.1432,0.7729,0.819
0.307000,0.2169,-0.1469,0.3985,0.477
0.318000,0.4434,-0.1437,0.0394,0.468
0.328000,0.1870,-0.5778,-0.5721,0.834
0.348000,0.3777,-0.4185,-0.3908,0.686
0.357000,0.3339,-0.2294,0.3434,0.531
0.358000,0.2199,-0.1074,0.3908,0.461
0.371000,0.4369,0.0319,0.8085,0.920
0.385000,1.0342,0.0276,1.1506,1.547
0.400000,1.2576,0.4306,0.4610,1.407
0.402000,1.1494,0.4181,-0.2509,1.249
0.417000,0.6844,0.3680,-0.6869,1.037
0.419000,0.6851,0.2457,-1.1113,1.328
0.432000,0.6898,0.1899,-1.6582,1.806
0.452000,0.5695,0.1882,-1.9984,2.087
0.453000,0.1569,0.2451,-2.1569,2.176
0.475000,0.1575,0.2475,-2.1391,2.159
0.478000,-0.1255,0.3251,-2.0616,2.091
0.479000,-0.5642,0.0604,-1.9722,2.052
0.488000,-1.0382,0.1525,-1.0948,1.517
0.501000,-0.6245,0.3907,0.0375,0.738
0.509000,-1.1278,0.7540,0.9603,1.662
0.518000,-0.3884,0.2166,0.3542,0.568
0.528000,-1.0079,0.2080,0.5460,1.165
0.544000,-1.0550,0.0527,0.2025,1.076
0.573000,-1.2099,-0.1863,-0.5053,1.324
0.576000,-1.2479,-0.3600,-1.2991,1.837
0.578000,-1.4366,-0.9666,-1.0372,2.018
0.579000,-1.2663,-0.4847,-1.0645,1.724
0.588000,-1.1917,-0.8968,-1.1129,1.861
0.602000,-1.1359,-0.9392,-0.9139,1.734
0.608000,-0.6288,-1.0685,0.1404,1.248
0.620000,-0.8205,-0.8236,0.6377,1.326
0.628000,-0.8046,-0.6926,0.8740,1.375
0.644000,-0.4140,-0.9662,1.3095,1.679
0.674000,0.8535,-1.4394,0.3298,1.706
0.676000,1.9426,-1.7737,0.4497,2.669
0.677000,3.2205,-1.9390,0.8552,3.855
0.679000,3.4670,-1.6823,1.6881,4.207
0.689000,1.5837,-1.5771,0.7915,2.371
0.700000,1.5664,-1.5722,0.7837,2.354
0.708000,0.6669,-1.0444,1.3779,1.853
0.718000,-0.3631,-0.9507,1.9036,2.159
0.729000,-0.2916,-0.6229,1.5104,1.660
0.740000,-1.3430,-0.5087,-0.5929,1.554
0.748000,-1.3273,-0.5113,-0.6288,1.555
0.759000,-0.5432,-0.8508,3.8492,3.979
0.770000,-0.0430,-0.9986,5.6847,5.772
0.780000,1.2597,-1.1085,4.6735,4.966
0.789000,2.0654,-1.1796,1.7460,2.951
